Country_id,Title,Metric_id,Metric,Year,Value
178,Papua New Guinea,1,Prison Population Total,2019,5087
204,Slovakia,1,Prison Population Total,2019,10372
118,Kyrgyzstan,1,Prison Population Total,2019,10574
127,Kazakhstan,1,Prison Population Total,2019,31001
50,Colombia,1,Prison Population Total,2019,119896
139,Morocco,1,Prison Population Total,2019,82512
79,United Kingdom: England & Wales,1,Prison Population Total,2019,82543
193,Russian Federation,1,Prison Population Total,2019,557584
181,Poland,1,Prison Population Total,2019,73520
103,Indonesia,1,Prison Population Total,2019,258501
177,French Polynesia (France),1,Prison Population Total,2019,573
77,France,1,Prison Population Total,2019,70059
82,French Guiana/Guyane (France),1,Prison Population Total,2019,784
249,South Africa,1,Prison Population Total,2019,164129
156,Mauritius,1,Prison Population Total,2019,2626
148,Myanmar (formerly Burma),1,Prison Population Total,2019,92000
176,Peru,1,Prison Population Total,2019,90638
116,Japan,1,Prison Population Total,2019,51805
196,Solomon Islands,1,Prison Population Total,2019,477
202,Slovenia,1,Prison Population Total,2019,1333
168,Netherlands,1,Prison Population Total,2019,10464
60,Denmark,1,Prison Population Total,2019,3635
179,Philippines,1,Prison Population Total,2019,188278
170,Nepal,1,Prison Population Total,2019,18881
149,Mongolia,1,Prison Population Total,2019,3099
239,St. Vincent and the Grenadines,1,Prison Population Total,2019,469
130,St. Lucia,1,Prison Population Total,2019,527
5,Anguilla (United Kingdom),1,Prison Population Total,2019,55
205,Sierra Leone,1,Prison Population Total,2019,4519
63,Algeria,1,Prison Population Total,2019,60000
190,Reunion (France),1,Prison Population Total,2019,1114
248,Mayotte (France),1,Prison Population Total,2019,316
161,Mozambique,1,Prison Population Total,2019,18185
232,Ukraine,1,Prison Population Total,2019,54677
243,Vietnam,1,Prison Population Total,2019,130002
160,Malaysia,1,Prison Population Total,2019,55413
213,Sint Maarten (Netherlands),1,Prison Population Total,2019,62
144,Madagascar,1,Prison Population Total,2019,20975
21,Belgium,1,Prison Population Total,2019,10073
96,Guyana,1,Prison Population Total,2019,2200
79,United Kingdom: Scotland,1,Prison Population Total,2019,8020
79,United Kingdom: Northern Ireland,1,Prison Population Total,2019,1492
191,Romania,1,Prison Population Total,2019,20731
104,"Ireland, Republic of",1,Prison Population Total,2019,4000
6,Albania,1,Prison Population Total,2019,5280
200,Singapore,1,Prison Population Total,2019,11737
110,Iran,1,Prison Population Total,2019,240000
97,Hong Kong (China),1,Prison Population Total,2019,8181
159,Mexico,1,Prison Population Total,2019,203364
32,Brazil,1,Prison Population Total,2019,719998
150,Macau (China),1,Prison Population Total,2019,1412
175,Panama,1,Prison Population Total,2019,16561
47,Chile,1,Prison Population Total,2019,41068
186,Portugal,1,Prison Population Total,2019,12961
58,Germany,1,Prison Population Total,2019,62902
187,Palau,1,Prison Population Total,2019,87
73,Fiji,1,Prison Population Total,2019,1889
12,American Samoa (USA),1,Prison Population Total,2019,193
230,Taiwan,1,Prison Population Total,2019,62634
86,Greenland (Denmark),1,Prison Population Total,2019,139
61,Dominica,1,Prison Population Total,2019,211
